"Affiliate","Affiliate ID","Clicks","Signups","First Deposit Amount","First Deposit Count","Deposits","Withdrawals","Casino Bet Amount","Casino Win Amount","Sportsbook Bet Amount","Sportsbook Win Amount","Net Revenue","Calculated NGR","Qualified Players","Earnings"
"grupodupla","1476","196,952","7,616","$32,196.21","4,499","$63,317.99","$35,334.03","$17,392.62","$16,939.63","$79,744.10","$62,102.41","$18,093.58","$5,673.47","2,327","$76,166.04"
"costamedia","562","37,184","3,621","$40,370.03","1,110","$293,847.89","$223,133.07","$676,194.14","$636,538.98","$276,661.75","$245,058.91","$71,253.41","$28,479.60","855","$56,823.79"
"AfiliagamblingBR","372","15,156","1,738","$20,301.83","1,215","$41,310.82","$40,996.18","$12,270.47","$11,706.81","$43,327.73","$41,566.87","$2,327.27","-$3,681.36","676","$20,351.01"
"raphaelrossi","1111","11,836,144","5,503","$11,790.76","864","$28,983.63","$28,150.11","$28,398.90","$26,309.36","$19,665.87","$18,676.82","$3,077.31","-$813.10","581","$17,932.89"
"NorhstarBR","742","40,099","2,828","$7,916.54","372","$53,467.68","$51,255.00","$96,985.34","$94,024.11","$67,795.35","$67,771.62","$2,983.30","-$4,131.43","207","$7,223.68"
"eightroom_Brasil25","588","1,698","309","$3,417.37","241","$5,705.31","$4,727.94","$663.22","$552.76","$6,206.14","$5,494.40","$822.70","-$22.52","206","$6,375.33"
"EightroomBR2","1217","4,867","1,082","$8,494.34","223","$65,340.95","$53,094.51","$209,863.99","$203,827.46","$50,084.57","$43,967.93","$12,152.33","$2,882.69","83","$5,284.77"
"apuestasfree","463","116","171","$4,250.37","76","$18,133.79","$17,259.79","$5,077.26","$3,643.60","$14,151.15","$14,776.12","$808.65","-$1,075.67","60","$2,161.48"
"dbbtwar","1128","161,849","257","$908.30","83","$2,324.52","$1,132.45","$6,420.98","$5,575.12","$968.08","$559.18","$1,254.25","$710.69","37","$1,341.75"
"sosuperodds","1475","4,757","269","$1,238.06","182","$2,481.75","$1,902.12","$366.05","$237.42","$3,103.85","$3,144.43","$88.17","-$436.49","88","$1,320.00"
"BW1703RBR26","1273","8,234","1,637","$3,793.64","113","$15,919.07","$23,553.49","$61,276.49","$69,821.51","$18,453.32","$17,378.05","-$7,470.36","-$9,360.09","30","$998.57"
"Player7777","1103","1,744","196","$2,021.55","110","$6,901.73","$4,894.71","$1,169.76","$1,035.84","$7,536.15","$4,514.76","$3,155.50","$1,507.64","0","$452.29"
"BBAffiliantionCPA","1407","703","46","$407.30","16","$562.53","$344.53","$86.76","$60.07","$249.38","$176.87","$99.17","$59.43","14","$369.84"
"Asaph","1257","5,605,488","1,109","$465.17","95","$1,889.20","$1,864.14","$7,673.92","$7,599.93","$110.61","$15.61","$168.32","-$226.43","4","$340.00"
"CardmatesBR","1067","688","122","$1,027.97","7","$1,130.77","$29.25","$2,295.73","$1,181.99","$9.24","$19.78","$1,103.16","$813.60","4","$326.30"
"buenpasomedia","538","904","20","$264.72","7","$1,204.58","$180.10","$1,119.70","$844.43","$1,154.28","$403.54","$1,025.99","$755.53","0","$226.66"
"mailinbox","1477","10,870","26","$15.55","3","$30.94","$23.12","$130.28","$130.64","$0.18","$0.00","-$0.18","-$6.09","3","$48.00"
"oddsscannerbr2","756","0","0","$0.00","0","$249.47","$509.56","$291.33","$442.28","$172.76","$47.02","-$25.23","-$76.79","0","$25.60"
"myaffiliates_test","1","102","3","$13.75","2","$13.75","$0.00","$20.61","$7.14","$0.00","$0.00","$13.46","$9.96","0","$1.99"
"229554","2","3","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"AfiliapubLM","377","6","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"AlreadyMedia10","1080","88","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"bclone","483","1","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"bigfootbrazil","1028","376","1","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"Bwisemedia","1165","4","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"casinoguru","539","179","4","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"CleverBRa","1214","81","3","$1.94","1","$1.94","$0.00","$0.00","$0.00","$0.17","$0.15","$0.01","$0.01","0","$0.00"
"Diego_Bonatti","1274","7","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"Emma","1144","669","4","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"EonF_Holding","598","5","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"fichasnow","1083","27","1","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"Fiebre","613","2","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"gampaff","631","107","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"Growthleads","643","2","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"gustavomarques","1296","5","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"IGCAINT","651","2","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"JoaquinC","667","27","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"netopedrozo","1141","1","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"OCPEBETWARRIOR001","751","155","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"ocraffbwr","752","484","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"Takashi","1200","1","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"TrilceR","849","66","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","0","$0.00"
"robrubim","797","969","2","$9.24","1","$26.94","$7.62","$0.00","$0.00","$60.12","$46.51","$13.63","-$0.51","0","-$0.15"
