"Affiliate","Affiliate ID","Signups","First Deposit Amount","First Deposit Count"
"365Scores","1184","2","$3.36","1"
"AfiliagamblingBR","372","213","$2,390.73","151"
"Agencia142_MZA","1310","1","$0.00","0"
"Agencia14_MZA","1307","1","$3.34","1"
"Agencia196_MZA","1433","1","$0.00","0"
"Agencia31_MZA","1308","1","$0.00","0"
"Agencia3_MZA","1330","0","$6.69","1"
"Agencia452_MZA","1342","1","$3.30","1"
"Agencia510_MZA","1284","1","$6.68","1"
"Agencia79_MZA","1268","2","$23.34","2"
"Agencia98_MZA","1278","0","$16.67","1"
"apuestasfree","463","5","$98.70","2"
"Asaph","1257","5","$1.94","1"
"BBAffiliantionCPA","1407","21","$186.42","5"
"BCGLC25AR","481","3","$21.48","3"
"BCPAR25AR","488","1","$0.00","0"
"BCPLAY25AR","492","4","$33.74","2"
"BW1703RBR26","1273","282","$183.27","20"
"CleverBRa","1214","3","$1.94","1"
"costamedia","562","216","$1,268.12","54"
"dbbtwar","1128","0","$2.87","1"
"eightroom_Brasil25","588","20","$132.59","15"
"EightroomBR2","1217","64","$295.80","14"
"EonF_Holding","598","0","$100.38","1"
"grupodupla","1476","7,436","$31,175.51","4,396"
"Influencer_Marketing","1114","16","$56.27","7"
"LeadstarPE","688","17","$1.33","1"
"mailinbox","1477","25","$15.55","3"
"nfa","1287","0","$5.82","1"
"NorhstarBR","742","53","$414.23","30"
"NorthstarARG","744","1","$16.72","2"
"Player7777","1103","1","$1.94","1"
"raphaelrossi","1111","438","$744.28","94"
"robrubim","797","1","$0.00","0"
"slickagency","1428","1","$0.00","0"
"sosuperodds","1475","269","$1,238.06","182"
