"Affiliate","Affiliate ID","Signups","First Deposit Amount","First Deposit Count"
"365Scores","1184","1","$0.00","0"
"AfiliagamblingBR","372","106","$1,236.23","77"
"Agencia1001_SLA","1418","1","$0.00","0"
"Agencia1004_SLA","1419","0","$0.67","1"
"Agencia123_SLA","1364","2","$6.72","1"
"Agencia142_MZA","1310","1","$3.38","1"
"Agencia14_MZA","1307","5","$16.75","1"
"Agencia196_MZA","1433","3","$4.67","2"
"Agencia253_MZA","1302","0","$6.71","1"
"Agencia29_MZA","1332","1","$18.89","1"
"Agencia307_SLA","1400","1","$0.00","0"
"Agencia337_SLA","1403","1","$0.00","0"
"Agencia339_MZA","1292","2","$0.00","0"
"Agencia350_MZA","1300","1","$16.79","1"
"Agencia3_MZA","1330","1","$0.00","0"
"Agencia474_MZA","1343","1","$0.67","1"
"Agencia484_MZA","1439","2","$13.38","2"
"Agencia50_MZA","1275","0","$2.69","1"
"Agencia58_MZA","1276","1","$0.00","0"
"Agencia592_SLA","1416","2","$0.00","0"
"Agencia69_MZA","1359","0","$1.34","1"
"Agencia79_MZA","1268","1","$0.95","1"
"Agencia86_SLA","1363","5","$2.00","1"
"Agencia88_MZA","1358","1","$2.28","1"
"Agencia98_MZA","1278","2","$0.00","0"
"apuestasfree","463","5","$61.96","1"
"apuestasfree_arg","464","2","$13.48","1"
"Asaph","1257","11","$0.00","0"
"BBAffiliantionCPA","1407","15","$160.22","7"
"BCGLC25AR","481","7","$61.92","4"
"BCPLAY25AR","492","14","$33.58","5"
"BW1703RBR26","1273","360","$234.11","22"
"casinoguru","539","2","$0.00","0"
"costamedia","562","291","$1,188.71","62"
"dbbtwar","1128","10","$34.87","5"
"eightroom_Brasil25","588","27","$242.90","19"
"EightroomBR2","1217","135","$773.65","26"
"Emma","1144","1","$0.00","0"
"Influencer_Marketing","1114","253","$988.61","88"
"Influs_BR","1211","212","$347.93","149"
"LeadstarPE","688","23","$58.18","5"
"myaffiliates_test","1","3","$13.75","2"
"nfa","1287","4","$3.86","2"
"NorhstarBR","742","570","$232.71","32"
"NorthstarARG","744","0","$0.67","1"
"raphaelrossi","1111","136","$483.68","40"
"slickagency","1428","0","$1.91","1"
