"Affiliate","Affiliate ID","Signups","First Deposit Amount","First Deposit Count"
"365Scores","1184","2","$3.36","1"
"AfiliagamblingBR","372","150","$1,725.59","107"
"Agencia142_MZA","1310","1","$0.00","0"
"Agencia14_MZA","1307","1","$3.34","1"
"Agencia196_MZA","1433","1","$0.00","0"
"Agencia31_MZA","1308","1","$0.00","0"
"Agencia3_MZA","1330","0","$6.69","1"
"Agencia452_MZA","1342","1","$0.00","0"
"Agencia510_MZA","1284","1","$6.68","1"
"Agencia79_MZA","1268","2","$23.34","2"
"Agencia98_MZA","1278","0","$16.67","1"
"apuestasfree","463","5","$98.70","2"
"Asaph","1257","4","$1.94","1"
"BBAffiliantionCPA","1407","21","$186.42","5"
"BCGLC25AR","481","1","$4.26","1"
"BCPAR25AR","488","1","$0.00","0"
"BCPLAY25AR","492","4","$33.74","2"
"BW1703RBR26","1273","242","$132.81","17"
"CleverBRa","1214","1","$1.94","1"
"costamedia","562","187","$1,127.82","49"
"dbbtwar","1128","0","$2.87","1"
"eightroom_Brasil25","588","15","$114.20","11"
"EightroomBR2","1217","61","$295.80","14"
"EonF_Holding","598","0","$100.38","1"
"grupodupla","1476","4,291","$18,697.03","2,681"
"Influencer_Marketing","1114","15","$55.28","6"
"LeadstarPE","688","16","$1.33","1"
"mailinbox","1477","17","$15.55","3"
"NorhstarBR","742","40","$270.79","23"
"NorthstarARG","744","1","$16.72","2"
"Player7777","1103","1","$0.00","0"
"raphaelrossi","1111","231","$613.74","71"
"robrubim","797","1","$0.00","0"
"sosuperodds","1475","174","$634.05","114"
