"Affiliate Hash Id","Affiliate username","Join Period","Customers Joined","Net Revenue : from 2026-08-01","Net Revenue: total","Affiliate earnings for join period"
AR2480359947,AfiliagamblingBR,"2026-08-01 / 2026-08-31",215,$270.88,$270.88,"$2,910.00"
AX1502942994,apuestasfree,"2026-08-01 / 2026-08-31",5,-$77.85,-$77.85,$60.00
AD0106326993,costamedia,"2026-08-01 / 2026-08-31",219,"$1,398.92","$1,398.92","$3,170.41"
AL2775551155,eightroom_Brasil25,"2026-08-01 / 2026-08-31",20,$90.17,$90.17,$112.17
AW2954535957,NorhstarBR,"2026-08-01 / 2026-08-31",54,$1.84,$1.84,$194.20
AX2923698888,robrubim,"2026-08-01 / 2026-08-31",1,$0.00,$0.00,$1.29
AW0111326098,Player7777,"2026-08-01 / 2026-08-31",1,$0.00,$0.00,-$0.24
AF1908263754,raphaelrossi,"2026-08-01 / 2026-08-31",438,-$218.34,-$218.34,$300.00
AS3327692988,EightroomBR2,"2026-08-01 / 2026-08-31",64,$598.66,$598.66,$195.87
AR0128596548,BW1703RBR26,"2026-08-01 / 2026-08-31",286,$77.35,$77.35,$120.00
AJ3168779906,BBAffiliantionCPA,"2026-08-01 / 2026-08-31",21,-$0.13,-$0.13,$100.00
AA1970714795,slickagency,"2026-08-01 / 2026-08-31",1,$0.00,$0.00,$2.97
AC1755654038,sosuperodds,"2026-08-01 / 2026-08-31",269,$9.45,$9.45,"$1,320.00"
AX1262914203,grupodupla,"2026-08-01 / 2026-08-31",7478,"$15,204.02","$15,204.02","$73,898.71"
AN2858840448,mailinbox,"2026-08-01 / 2026-08-31",26,-$0.18,-$0.18,$48.00
