Categoria,Plataforma,GA4_Source,Data,Investimento_Real
Performance,Google,google,2025-10-01,21855.04
Performance,Google,google,2025-11-01,21582.73
Performance,Google,google,2025-12-01,21582.73
Performance,Google,google,2026-01-01,17635.17
Performance,Google,google,2026-02-01,44010.07
Performance,Google,google,2026-03-01,70740
Performance,Google,google,2026-04-01,93525.18
Display / Programática,Better Collective,bettercollective,2026-04-01,100000
Performance,Youtube,youtube,2025-12-01,17626.27
Performance,Youtube,youtube,2026-01-01,7329.77
Performance,Youtube,youtube,2026-04-01,15000
Performance,Meta,facebook,2025-10-01,20119.42
Performance,Meta,facebook,2025-11-01,19424.46
Performance,Meta,facebook,2025-12-01,24135
Performance,Meta,facebook,2026-01-01,24210
Performance,Meta,facebook,2026-02-01,33810.31
Performance,Meta,facebook,2026-03-01,68645
Performance,Meta,facebook,2026-04-01,80000
Performance,Twitter,twitter,2026-04-01,15000
Performance,Tiktok,tiktok,2026-01-01,10968.35
Performance,Tiktok,tiktok,2026-02-01,19411.69
Performance,Tiktok,tiktok,2026-03-01,9987
Performance,Tiktok,tiktok,2026-04-01,25000
Performance,Kwai,kwai,2026-02-01,2412.59
Performance,Kwai,kwai,2026-03-01,6029
Performance,Kwai,kwai,2026-04-01,10000
Display / Programática,UOL,uol,2026-02-01,2845
Display / Programática,UOL,uol,2026-03-01,59133
Display / Programática,365 Scores,365scores,2026-03-01,7500
Display / Programática,365 Scores,365scores,2026-04-01,7500
Display / Programática,Sofascore,sofascore,2026-04-01,7500
Display / Programática,Siprocal,siprocal,2026-03-01,566.55
Display / Programática,Siprocal,siprocal,2026-04-01,7500
Display / Programática,Taboola,taboola,2026-02-01,9950.54
Display / Programática,Taboola,taboola,2026-03-01,18952
Display / Programática,Taboola,taboola,2026-04-01,13684.2
Display / Programática,Verve,verve,2026-04-01,15999
Patrocínios,Peleja,peleja,2025-11-01,69944.04
Patrocínios,Peleja,peleja,2025-12-01,69944.04
Patrocínios,Peleja,peleja,2026-01-01,69944.04
Patrocínios,Peleja,peleja,2026-02-01,69944.04
Patrocínios,Peleja,peleja,2026-03-01,69944.04
Patrocínios,Peleja,peleja,2026-04-01,69944.04
Patrocínios,GR6,gr6,2026-01-01,100378.6
Patrocínios,GR6,gr6,2026-02-01,117648.22
Patrocínios,GR6,gr6,2026-03-01,22665.31
Patrocínios,GR6,gr6,2026-04-01,22665.31
Patrocínios,NFA,nfa,2025-12-01,44964.03
Patrocínios,NFA,nfa,2026-01-01,44964.03
Patrocínios,NFA,nfa,2026-02-01,44964.03
Patrocínios,NFA,nfa,2026-03-01,50359.71
Patrocínios,NFA,nfa,2026-04-01,52158.27
Influenciadores,Domitila,domitila,2026-01-01,6834.53
Influenciadores,Domitila,domitila,2026-02-01,6834.53
Influenciadores,Domitila,domitila,2026-03-01,6834.53
Influenciadores,Domitila,domitila,2026-04-01,6834.53
Influenciadores,Peu,peu,2026-01-01,5367.98
Influenciadores,Peu,peu,2026-02-01,5321.33
Influenciadores,Peu,peu,2026-03-01,5620.73
Influenciadores,Peu,peu,2026-04-01,5357.06
Afiliados,Player7777,player7777,2025-10-01,249.76
