Date,Channel,Pay period,Customer group,Campaign,Clicks,Impressions,Signups,FTD Count,FTD Amount,Deposits,Withdrawals,NGR,Income
2026-03-01,BetWarrior Brazil,2026-03-01,0,Uol - 120x600 - Basquete,1,0,0,0,0,0,0,0,0.00
2026-03-01,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,22,0,0,0,0,0,0,0,0.00
2026-03-01,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,279,0,1,0,0,0,0,0,0.00
2026-03-01,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,259,0,0,0,0,0,0,0,0.00
2026-03-01,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,157,0,0,0,0,0,0,0,0.00
2026-03-01,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,267,0,0,0,0,0,0,0,0.00
2026-03-01,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,1,0,0,0,0,0,0,0,0.00
2026-03-01,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,98,0,0,0,0,0,0,0,0.00
2026-03-01,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,899,0,0,0,0,0,0,0,0.00
2026-03-01,BetWarrior Brazil,2026-03-01,0,Uol - diária - diária,0,0,1,0,0,0,0,0,0.00
2026-03-01,BetWarrior Brazil,2026-03-01,0,Siprocal - Push Notification - Institucional,56,0,0,0,0,0,0,0,0.00
2026-03-02,BetWarrior Brazil,2026-03-01,0,Uol - 120x600 - Basquete,1,0,0,0,0,0,0,0,0.00
2026-03-02,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,10,0,0,0,0,0,0,0,0.00
2026-03-02,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,219,0,0,0,0,0,0,0,0.00
2026-03-02,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,122,0,0,0,0,0,0,0,0.00
2026-03-02,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,173,0,0,0,0,0,0,0,0.00
2026-03-02,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,152,0,0,0,0,0,0,0,0.00
2026-03-02,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,4,0,0,0,0,0,0,0,0.00
2026-03-02,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,123,0,0,0,0,0,0,0,0.00
2026-03-02,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,835,0,0,0,0,0,0,0,0.00
2026-03-02,BetWarrior Brazil,2026-03-01,0,Siprocal - Push Notification - Institucional,87,0,0,0,0,0,0,0,0.00
2026-03-03,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,72,0,0,0,0,0,0,0,0.00
2026-03-03,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,127,0,0,0,0,0,0,0,0.00
2026-03-03,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,79,0,0,0,0,0,0,0,0.00
2026-03-03,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,92,0,0,0,0,0,0,0,0.00
2026-03-03,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,105,0,0,0,0,0,0,0,0.00
2026-03-03,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,4,0,0,0,0,0,0,0,0.00
2026-03-03,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,87,0,0,0,0,0,0,0,0.00
2026-03-03,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,483,0,0,0,0,0,0,0,0.00
2026-03-03,BetWarrior Brazil,2026-03-01,0,Siprocal - Push Notification - Institucional,9,0,0,0,0,0,0,0,0.00
2026-03-04,BetWarrior Brazil,2026-03-01,0,Uol - 120x600 - Basquete,1,0,0,0,0,0,0,0,0.00
2026-03-04,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,34,0,0,0,0,0,0,0,0.00
2026-03-04,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,118,0,0,0,0,0,0,0,0.00
2026-03-04,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,20,0,0,0,0,0,0,0,0.00
2026-03-04,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,125,0,0,0,0,0,0,0,0.00
2026-03-04,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,53,0,0,0,0,0,0,0,0.00
2026-03-04,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,2,0,0,0,0,0,0,0,0.00
